"","time","llrmcs"
"1",1,42.4049777031212
"2",2,42.876112823221
"3",3,26.755223468616
"4",4,34.7729171650507
"5",5,34.9967840809572
"6",6,39.5763748979215
"7",7,29.2707505699985
"8",8,29.6344198070987
"9",9,57.6630735908094
"10",10,66.035791658698
"11",11,37.9145067882895
"12",12,36.2715355521612
"13",13,35.4388849241866
"14",14,32.6107603625995
"15",15,37.7512307684333
"16",16,46.2053192870541
"17",17,45.7474710886879
"18",18,41.3007691981106
"19",19,50.7161863659626
"20",20,46.9445784382196
"21",21,41.341380684717
"22",22,46.7266564558516
"23",23,37.8927510523714
"24",24,34.0834031766737
"25",25,32.9989951017382
"26",26,42.1593634332831
"27",27,55.6737432996627
"28",28,66.7846462134476
"29",29,29.3189293853154
"30",30,38.8580169687619
"31",31,47.5561065765134
"32",32,59.1563639798025
"33",33,49.8259556253203
"34",34,39.6556180136734
"35",35,46.5301304568517
"36",36,59.3208958632241
"37",37,35.4744657180117
"38",38,42.1046186471607
"39",39,29.9447660467483
"40",40,32.3172349711949
"41",41,49.8865411241397
"42",42,43.9557895759037
"43",43,38.9063090456973
"44",44,37.4695817684059
"45",45,38.3999896305592
"46",46,44.0060233870108
"47",47,45.5162917893132
"48",48,52.1757320006573
"49",49,57.2165690840233
"50",50,40.1020226220854
"51",51,38.3700260959941
"52",52,40.9895878074355
"53",53,41.323311267971
"54",54,63.7235395884277
"55",55,51.7128151927575
"56",56,41.3098435827153
"57",57,34.6663828151304
"58",58,36.693976424252
"59",59,35.0393328491707
"60",60,40.1406842559144
"61",61,53.1767147950872
"62",62,53.029567693463
"63",63,50.2482558507431
"64",64,51.4833374262507
"65",65,52.8827251499882
"66",66,41.9131537615808
"67",67,41.2187201626036
"68",68,37.9221798383321
"69",69,51.8832108985486
"70",70,45.1472869453595
"71",71,45.587564109539
"72",72,34.8357150929396
"73",73,52.5240514993086
"74",74,46.7206406390002
"75",75,47.5273917180397
"76",76,58.0320000067333
"77",77,58.6632689549008
"78",78,58.8712840062389
"79",79,54.4380034209615
"80",80,56.0901254563047
"81",81,56.5146033675202
"82",82,53.2227082805348
"83",83,57.7115644462265
"84",84,47.8092366492635
"85",85,58.6200192621063
"86",86,60.7744074532511
"87",87,69.2358140195267
"88",88,42.455731623526
"89",89,45.8675275194506
"90",90,40.4385660283302
"91",91,54.7548480211497
"92",92,42.2589084624253
"93",93,56.1913127025244
"94",94,53.6483101582469
"95",95,54.1569083224886
"96",96,41.8469002472165
"97",97,58.6110857386661
"98",98,64.2338187338872
"99",99,57.509453779959
"100",100,49.7738058930215
"101",101,54.0350874170599
"102",102,45.9339508536409
"103",103,43.4297871542146
"104",104,59.0740724534802
"105",105,53.1373633449878
"106",106,53.8484989604067
"107",107,49.0902111121322
"108",108,51.1757518576516
"109",109,48.726318191473
"110",110,50.069579404912
"111",111,49.4813952973013
"112",112,40.2274200676666
"113",113,46.4646151930314
"114",114,53.102891884497
"115",115,53.6756448358083
"116",116,51.2759110038189
"117",117,51.1428253265635
"118",118,55.7239016980746
"119",119,63.7129807731787
"120",120,50.0200328218395
"121",121,41.7282756238318
"122",122,46.4730486384527
"123",123,42.2953900796198
"124",124,42.0509160764635
"125",125,37.2693937321522
"126",126,64.1906021695617
"127",127,61.1724928768172
"128",128,62.1237461726408
"129",129,57.2066272396459
"130",130,51.6744587651277
"131",131,50.3392980048127
"132",132,39.7341241774774
"133",133,44.4403244013277
"134",134,36.1833813582978
"135",135,39.3552568843951
"136",136,52.5893953572856
"137",137,54.0068992267241
"138",138,40.5811723433006
"139",139,39.0590398787276
"140",140,51.2666765948154
"141",141,55.5405085469335
"142",142,48.5828170062798
"143",143,44.8306410683554
"144",144,57.2536504359598
"145",145,31.0774136847664
"146",146,29.8917783877955
"147",147,43.8142843598711
"148",148,63.228229000685
"149",149,63.1732951876434
"150",150,52.116370537768
"151",151,39.6791316650595
"152",152,48.3035204442483
"153",153,57.4018538234525
"154",154,44.9330990108127
"155",155,52.1999451657585
"156",156,56.0684999875758
"157",157,58.3136345374973
"158",158,43.5904635178595
"159",159,34.3011775738655
"160",160,43.5185288743575
"161",161,47.5695755181343
"162",162,45.5423472249819
"163",163,60.7250093245484
"164",164,39.8527108455907
"165",165,39.6810349890523
"166",166,45.3380189929254
"167",167,56.6371176355856
"168",168,52.15131856425
"169",169,58.8046877144112
"170",170,46.5135343125529
"171",171,54.4919626611014
"172",172,58.3176082022717
"173",173,64.0466030388568
"174",174,59.3531246323091
"175",175,58.7571167184009
"176",176,60.6335266942071
"177",177,52.7376719500741
"178",178,59.9858399821815
"179",179,40.7491631259501
"180",180,49.556231910921
"181",181,47.9699556554238
"182",182,50.4557040662253
"183",183,47.8363547046046
"184",184,52.5489201780679
"185",185,61.205847708417
"186",186,50.1815261949405
"187",187,38.7461798163994
"188",188,54.8563533058914
"189",189,63.1851013816623
"190",190,56.9133688890068
"191",191,49.8637182119598
"192",192,45.074302747826
"193",193,67.9225309375861
"194",194,65.5036028899986
"195",195,54.5807898720252
"196",196,47.877272950564
"197",197,61.7570804635321
"198",198,68.2700849220853
"199",199,65.2733940830163
"200",200,63.5312907368528
"201",201,56.0116149532006
"202",202,55.1810076664679
"203",203,51.9236441425846
"204",204,47.2924242023762
"205",205,51.9623639279201
"206",206,58.8975308376854
"207",207,52.8569843975408
"208",208,64.8026192531087
"209",209,77.5537199987745
"210",210,52.4632264072164
"211",211,58.701915344356
"212",212,56.9424443154195
